model;pre_trained_set;training_set;num_frozen_layers;epochs;accuracy
RESNET;ProximalPhalanxTW;ProximalPhalanxOutlineCorrect;0;1000;0.9347079037800687
RESNET;ProximalPhalanxTW;ProximalPhalanxOutlineCorrect;37;1000;0.8694158075601375
ENCODER;ProximalPhalanxTW;ProximalPhalanxOutlineCorrect;0;1000;0.9037800687285223
ENCODER;ProximalPhalanxTW;ProximalPhalanxOutlineCorrect;22;1000;0.845360824742268
INCEPTION;ProximalPhalanxTW;ProximalPhalanxOutlineCorrect;0;1000;0.9209621993127147
INCEPTION;ProximalPhalanxTW;ProximalPhalanxOutlineCorrect;63;1000;0.8419243986254296
CNN;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;0;100;0.8195121951219512
CNN;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;11;100;0.8146341463414634
RESNET;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;0;100;0.775609756097561
RESNET;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;37;100;0.7902439024390244
ENCODER;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;0;100;0.7804878048780488
ENCODER;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;22;100;0.7853658536585366
INCEPTION;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;0;100;0.6097560975609756
INCEPTION;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;63;100;0.7658536585365854
CNN;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;0;1000;0.7658536585365854
CNN;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;11;1000;0.7853658536585366
RESNET;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;0;1000;0.8
RESNET;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;37;1000;0.8146341463414634
ENCODER;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;0;1000;0.7804878048780488
ENCODER;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;22;1000;0.7268292682926829
INCEPTION;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;0;1000;0.7560975609756098
INCEPTION;ProximalPhalanxOutlineAgeGroup;ProximalPhalanxTW;63;1000;0.7951219512195122
CNN;FordA;RefrigerationDevices;0;100;0.544
CNN;FordA;RefrigerationDevices;11;100;0.5013333333333333
RESNET;FordA;RefrigerationDevices;0;100;0.528
RESNET;FordA;RefrigerationDevices;37;100;0.5173333333333333
ENCODER;FordA;RefrigerationDevices;0;100;0.408
ENCODER;FordA;RefrigerationDevices;22;100;0.392
INCEPTION;FordA;RefrigerationDevices;0;100;0.5226666666666666
INCEPTION;FordA;RefrigerationDevices;63;100;0.432
CNN;FordA;RefrigerationDevices;0;1000;0.5146666666666667
CNN;FordA;RefrigerationDevices;11;1000;0.49066666666666664
RESNET;FordA;RefrigerationDevices;0;1000;0.5653333333333334
RESNET;FordA;RefrigerationDevices;37;1000;0.5706666666666667
ENCODER;FordA;RefrigerationDevices;0;1000;0.41333333333333333
ENCODER;FordA;RefrigerationDevices;22;1000;0.4106666666666667
INCEPTION;FordA;RefrigerationDevices;0;1000;0.4826666666666667
INCEPTION;FordA;RefrigerationDevices;63;1000;0.504
CNN;ElectricDevices;ScreenType;0;100;0.6213333333333333
CNN;ElectricDevices;ScreenType;11;100;0.49066666666666664
RESNET;ElectricDevices;ScreenType;0;100;0.6026666666666667
RESNET;ElectricDevices;ScreenType;37;100;0.5386666666666666
ENCODER;ElectricDevices;ScreenType;0;100;0.38133333333333336
ENCODER;ElectricDevices;ScreenType;22;100;0.33866666666666667
INCEPTION;ElectricDevices;ScreenType;0;100;0.6213333333333333
INCEPTION;ElectricDevices;ScreenType;63;100;0.4
CNN;ElectricDevices;ScreenType;0;1000;0.6426666666666667
CNN;ElectricDevices;ScreenType;11;1000;0.536
RESNET;ElectricDevices;ScreenType;0;1000;0.608
RESNET;ElectricDevices;ScreenType;37;1000;0.592
ENCODER;ElectricDevices;ScreenType;0;1000;0.35733333333333334
ENCODER;ElectricDevices;ScreenType;22;1000;0.37066666666666664
INCEPTION;ElectricDevices;ScreenType;0;1000;0.576
INCEPTION;ElectricDevices;ScreenType;63;1000;0.4186666666666667
CNN;RefrigerationDevices;ShapeletSim;0;100;0.5
CNN;RefrigerationDevices;ShapeletSim;11;100;0.34444444444444444
RESNET;RefrigerationDevices;ShapeletSim;0;100;0.8777777777777778
RESNET;RefrigerationDevices;ShapeletSim;37;100;0.9444444444444444
ENCODER;RefrigerationDevices;ShapeletSim;0;100;0.48333333333333334
ENCODER;RefrigerationDevices;ShapeletSim;22;100;0.5722222222222222
INCEPTION;RefrigerationDevices;ShapeletSim;0;100;0.6333333333333333
INCEPTION;RefrigerationDevices;ShapeletSim;63;100;0.5777777777777777
CNN;RefrigerationDevices;ShapeletSim;0;1000;0.9666666666666667
CNN;RefrigerationDevices;ShapeletSim;11;1000;0.6333333333333333
RESNET;RefrigerationDevices;ShapeletSim;0;1000;1.0
RESNET;RefrigerationDevices;ShapeletSim;37;1000;0.9555555555555556
ENCODER;RefrigerationDevices;ShapeletSim;0;1000;0.4166666666666667
ENCODER;RefrigerationDevices;ShapeletSim;22;1000;0.5388888888888889
INCEPTION;RefrigerationDevices;ShapeletSim;0;1000;0.9444444444444444
INCEPTION;RefrigerationDevices;ShapeletSim;63;1000;0.6777777777777778
CNN;DiatomSizeReduction;ShapesAll;0;100;0.5433333333333333
CNN;DiatomSizeReduction;ShapesAll;11;100;0.645
RESNET;DiatomSizeReduction;ShapesAll;0;100;0.9066666666666666
RESNET;DiatomSizeReduction;ShapesAll;37;100;0.5983333333333334
ENCODER;DiatomSizeReduction;ShapesAll;0;100;0.7116666666666667
ENCODER;DiatomSizeReduction;ShapesAll;22;100;0.6716666666666666
INCEPTION;DiatomSizeReduction;ShapesAll;0;100;0.905
INCEPTION;DiatomSizeReduction;ShapesAll;63;100;0.6183333333333333
CNN;DiatomSizeReduction;ShapesAll;0;1000;0.895
CNN;DiatomSizeReduction;ShapesAll;11;1000;0.7566666666666667
RESNET;DiatomSizeReduction;ShapesAll;0;1000;0.9233333333333333
RESNET;DiatomSizeReduction;ShapesAll;37;1000;0.7133333333333334
ENCODER;DiatomSizeReduction;ShapesAll;0;1000;0.7133333333333334
ENCODER;DiatomSizeReduction;ShapesAll;22;1000;0.6966666666666667
INCEPTION;DiatomSizeReduction;ShapesAll;0;1000;0.9166666666666666
INCEPTION;DiatomSizeReduction;ShapesAll;63;1000;0.7666666666666667
CNN;Lightning7;SmallKitchenAppliances;0;100;0.336
CNN;Lightning7;SmallKitchenAppliances;11;100;0.7626666666666667
RESNET;Lightning7;SmallKitchenAppliances;0;100;0.48
RESNET;Lightning7;SmallKitchenAppliances;37;100;0.7813333333333333
ENCODER;Lightning7;SmallKitchenAppliances;0;100;0.608
ENCODER;Lightning7;SmallKitchenAppliances;22;100;0.41333333333333333
INCEPTION;Lightning7;SmallKitchenAppliances;0;100;0.56
INCEPTION;Lightning7;SmallKitchenAppliances;63;100;0.7386666666666667
CNN;Lightning7;SmallKitchenAppliances;0;1000;0.7973333333333333
CNN;Lightning7;SmallKitchenAppliances;11;1000;0.8213333333333334
RESNET;Lightning7;SmallKitchenAppliances;0;1000;0.6933333333333334
RESNET;Lightning7;SmallKitchenAppliances;37;1000;0.8426666666666667
ENCODER;Lightning7;SmallKitchenAppliances;0;1000;0.576
ENCODER;Lightning7;SmallKitchenAppliances;22;1000;0.41333333333333333
INCEPTION;Lightning7;SmallKitchenAppliances;0;1000;0.7786666666666666
INCEPTION;Lightning7;SmallKitchenAppliances;63;1000;0.8053333333333333
CNN;SwedishLeaf;SonyAIBORobotSurface1;0;100;0.9900166389351082
CNN;SwedishLeaf;SonyAIBORobotSurface1;11;100;0.8019966722129783
RESNET;SwedishLeaf;SonyAIBORobotSurface1;0;100;0.8752079866888519
RESNET;SwedishLeaf;SonyAIBORobotSurface1;37;100;0.800332778702163
ENCODER;SwedishLeaf;SonyAIBORobotSurface1;0;100;0.7953410981697171
ENCODER;SwedishLeaf;SonyAIBORobotSurface1;22;100;0.6805324459234608
INCEPTION;SwedishLeaf;SonyAIBORobotSurface1;0;100;0.8286189683860233
INCEPTION;SwedishLeaf;SonyAIBORobotSurface1;63;100;0.7870216306156406
CNN;SwedishLeaf;SonyAIBORobotSurface1;0;1000;0.9683860232945092
CNN;SwedishLeaf;SonyAIBORobotSurface1;11;1000;0.8502495840266223
RESNET;SwedishLeaf;SonyAIBORobotSurface1;0;1000;0.9717138103161398
RESNET;SwedishLeaf;SonyAIBORobotSurface1;37;1000;0.8569051580698835
ENCODER;SwedishLeaf;SonyAIBORobotSurface1;0;1000;0.8153078202995009
ENCODER;SwedishLeaf;SonyAIBORobotSurface1;22;1000;0.7121464226289518
INCEPTION;SwedishLeaf;SonyAIBORobotSurface1;0;1000;0.8635607321131448
INCEPTION;SwedishLeaf;SonyAIBORobotSurface1;63;1000;0.7936772046589018
CNN;SyntheticControl;SonyAIBORobotSurface2;0;100;0.9328436516264428
CNN;SyntheticControl;SonyAIBORobotSurface2;11;100;0.8719832109129066
RESNET;SyntheticControl;SonyAIBORobotSurface2;0;100;0.9055613850996852
RESNET;SyntheticControl;SonyAIBORobotSurface2;37;100;0.8541448058761805
ENCODER;SyntheticControl;SonyAIBORobotSurface2;0;100;0.8457502623294858
ENCODER;SyntheticControl;SonyAIBORobotSurface2;22;100;0.8111227701993704
INCEPTION;SyntheticControl;SonyAIBORobotSurface2;0;100;0.9118572927597062
INCEPTION;SyntheticControl;SonyAIBORobotSurface2;63;100;0.8719832109129066
CNN;SyntheticControl;SonyAIBORobotSurface2;0;1000;0.9695697796432319
CNN;SyntheticControl;SonyAIBORobotSurface2;11;1000;0.9055613850996852
RESNET;SyntheticControl;SonyAIBORobotSurface2;0;1000;0.9349422875131165
RESNET;SyntheticControl;SonyAIBORobotSurface2;37;1000;0.8824763903462749
ENCODER;SyntheticControl;SonyAIBORobotSurface2;0;1000;0.85099685204617
ENCODER;SyntheticControl;SonyAIBORobotSurface2;22;1000;0.8184679958027282
INCEPTION;SyntheticControl;SonyAIBORobotSurface2;0;1000;0.9359916054564533
INCEPTION;SyntheticControl;SonyAIBORobotSurface2;63;1000;0.8856243441762854
CNN;UWaveGestureLibraryX;StarLightCurves;0;100;0.7980815930063138
CNN;UWaveGestureLibraryX;StarLightCurves;11;100;0.961996114618747
RESNET;UWaveGestureLibraryX;StarLightCurves;0;100;0.9424477901894124
RESNET;UWaveGestureLibraryX;StarLightCurves;37;100;0.9596891694997571
ENCODER;UWaveGestureLibraryX;StarLightCurves;0;100;0.9583535696940262
ENCODER;UWaveGestureLibraryX;StarLightCurves;22;100;0.9465760077707625
INCEPTION;UWaveGestureLibraryX;StarLightCurves;0;100;0.9736522583778533
INCEPTION;UWaveGestureLibraryX;StarLightCurves;63;100;0.9050509956289461
CNN;UWaveGestureLibraryX;StarLightCurves;0;1000;0.9600534239922293
CNN;UWaveGestureLibraryX;StarLightCurves;11;1000;0.9678241864983002
RESNET;UWaveGestureLibraryX;StarLightCurves;0;1000;0.9759592034968432
RESNET;UWaveGestureLibraryX;StarLightCurves;37;1000;0.9635745507527926
ENCODER;UWaveGestureLibraryX;StarLightCurves;0;1000;0.9609033511413307
ENCODER;UWaveGestureLibraryX;StarLightCurves;22;1000;0.9456046624575036
INCEPTION;UWaveGestureLibraryX;StarLightCurves;0;1000;0.9781447304516756
INCEPTION;UWaveGestureLibraryX;StarLightCurves;63;1000;0.9573822243807674
CNN;WordSynonyms;Strawberry;0;100;0.6675675675675675
CNN;WordSynonyms;Strawberry;11;100;0.8729729729729729
RESNET;WordSynonyms;Strawberry;0;100;0.9675675675675676
RESNET;WordSynonyms;Strawberry;37;100;0.9027027027027027
ENCODER;WordSynonyms;Strawberry;0;100;0.9648648648648649
ENCODER;WordSynonyms;Strawberry;22;100;0.918918918918919
INCEPTION;WordSynonyms;Strawberry;0;100;0.972972972972973
INCEPTION;WordSynonyms;Strawberry;63;100;0.8081081081081081
CNN;WordSynonyms;Strawberry;0;1000;0.9783783783783784
CNN;WordSynonyms;Strawberry;11;1000;0.918918918918919
RESNET;WordSynonyms;Strawberry;0;1000;0.9837837837837838
RESNET;WordSynonyms;Strawberry;37;1000;0.9378378378378378
ENCODER;WordSynonyms;Strawberry;0;1000;0.9783783783783784
ENCODER;WordSynonyms;Strawberry;22;1000;0.9405405405405406
INCEPTION;WordSynonyms;Strawberry;0;1000;0.981081081081081
INCEPTION;WordSynonyms;Strawberry;63;1000;0.9054054054054054
CNN;Adiac;SwedishLeaf;0;100;0.9488
CNN;Adiac;SwedishLeaf;11;100;0.9248
RESNET;Adiac;SwedishLeaf;0;100;0.9392
RESNET;Adiac;SwedishLeaf;37;100;0.8864
ENCODER;Adiac;SwedishLeaf;0;100;0.9312
ENCODER;Adiac;SwedishLeaf;22;100;0.912
INCEPTION;Adiac;SwedishLeaf;0;100;0.9568
INCEPTION;Adiac;SwedishLeaf;63;100;0.8832
CNN;Adiac;SwedishLeaf;0;1000;0.9552
CNN;Adiac;SwedishLeaf;11;1000;0.9408
RESNET;Adiac;SwedishLeaf;0;1000;0.936
RESNET;Adiac;SwedishLeaf;37;1000;0.9008
ENCODER;Adiac;SwedishLeaf;0;1000;0.928
ENCODER;Adiac;SwedishLeaf;22;1000;0.9184
INCEPTION;Adiac;SwedishLeaf;0;1000;0.9584
INCEPTION;Adiac;SwedishLeaf;63;1000;0.9376
CNN;UWaveGestureLibraryX;Symbols;0;100;0.9628140703517588
CNN;UWaveGestureLibraryX;Symbols;11;100;0.7788944723618091
RESNET;UWaveGestureLibraryX;Symbols;0;100;0.9748743718592965
RESNET;UWaveGestureLibraryX;Symbols;37;100;0.8683417085427135
ENCODER;UWaveGestureLibraryX;Symbols;0;100;0.8743718592964824
ENCODER;UWaveGestureLibraryX;Symbols;22;100;0.8603015075376884
INCEPTION;UWaveGestureLibraryX;Symbols;0;100;0.9386934673366835
INCEPTION;UWaveGestureLibraryX;Symbols;63;100;0.9206030150753769
CNN;UWaveGestureLibraryX;Symbols;0;1000;0.9829145728643216
CNN;UWaveGestureLibraryX;Symbols;11;1000;0.9748743718592965
RESNET;UWaveGestureLibraryX;Symbols;0;1000;0.9758793969849247
RESNET;UWaveGestureLibraryX;Symbols;37;1000;0.9547738693467337
ENCODER;UWaveGestureLibraryX;Symbols;0;1000;0.8904522613065327
ENCODER;UWaveGestureLibraryX;Symbols;22;1000;0.8442211055276382
INCEPTION;UWaveGestureLibraryX;Symbols;0;1000;0.9748743718592965
INCEPTION;UWaveGestureLibraryX;Symbols;63;1000;0.942713567839196
CNN;ToeSegmentation2;ToeSegmentation1;0;100;0.9298245614035088
CNN;ToeSegmentation2;ToeSegmentation1;11;100;0.8640350877192983
RESNET;ToeSegmentation2;ToeSegmentation1;0;100;0.9473684210526315
RESNET;ToeSegmentation2;ToeSegmentation1;37;100;0.8201754385964912
ENCODER;ToeSegmentation2;ToeSegmentation1;0;100;0.5964912280701754
ENCODER;ToeSegmentation2;ToeSegmentation1;22;100;0.5482456140350878
INCEPTION;ToeSegmentation2;ToeSegmentation1;0;100;0.8947368421052632
INCEPTION;ToeSegmentation2;ToeSegmentation1;63;100;0.7807017543859649
CNN;ToeSegmentation2;ToeSegmentation1;0;1000;0.9605263157894737
CNN;ToeSegmentation2;ToeSegmentation1;11;1000;0.881578947368421
RESNET;ToeSegmentation2;ToeSegmentation1;0;1000;0.956140350877193
RESNET;ToeSegmentation2;ToeSegmentation1;37;1000;0.8771929824561403
ENCODER;ToeSegmentation2;ToeSegmentation1;0;1000;0.5833333333333334
ENCODER;ToeSegmentation2;ToeSegmentation1;22;1000;0.5657894736842105
INCEPTION;ToeSegmentation2;ToeSegmentation1;0;1000;0.9780701754385965
INCEPTION;ToeSegmentation2;ToeSegmentation1;63;1000;0.9254385964912281
CNN;ToeSegmentation1;ToeSegmentation2;0;100;0.9230769230769231
CNN;ToeSegmentation1;ToeSegmentation2;11;100;0.8846153846153846
RESNET;ToeSegmentation1;ToeSegmentation2;0;100;0.9384615384615385
RESNET;ToeSegmentation1;ToeSegmentation2;37;100;0.9538461538461539
ENCODER;ToeSegmentation1;ToeSegmentation2;0;100;0.6692307692307692
ENCODER;ToeSegmentation1;ToeSegmentation2;22;100;0.46923076923076923
INCEPTION;ToeSegmentation1;ToeSegmentation2;0;100;0.9384615384615385
INCEPTION;ToeSegmentation1;ToeSegmentation2;63;100;0.9384615384615385
CNN;ToeSegmentation1;ToeSegmentation2;0;1000;0.8769230769230769
CNN;ToeSegmentation1;ToeSegmentation2;11;1000;0.9153846153846154
RESNET;ToeSegmentation1;ToeSegmentation2;0;1000;0.8846153846153846
RESNET;ToeSegmentation1;ToeSegmentation2;37;1000;0.9461538461538461
ENCODER;ToeSegmentation1;ToeSegmentation2;0;1000;0.6692307692307692
ENCODER;ToeSegmentation1;ToeSegmentation2;22;1000;0.47692307692307695
INCEPTION;ToeSegmentation1;ToeSegmentation2;0;1000;0.9307692307692308
INCEPTION;ToeSegmentation1;ToeSegmentation2;63;1000;0.9230769230769231
CNN;UWaveGestureLibraryY;Trace;0;100;1.0
CNN;UWaveGestureLibraryY;Trace;11;100;1.0
RESNET;UWaveGestureLibraryY;Trace;0;100;1.0
RESNET;UWaveGestureLibraryY;Trace;37;100;0.95
ENCODER;UWaveGestureLibraryY;Trace;0;100;0.98
ENCODER;UWaveGestureLibraryY;Trace;22;100;0.94
INCEPTION;UWaveGestureLibraryY;Trace;0;100;1.0
INCEPTION;UWaveGestureLibraryY;Trace;63;100;0.94
CNN;UWaveGestureLibraryY;Trace;0;1000;1.0
CNN;UWaveGestureLibraryY;Trace;11;1000;1.0
RESNET;UWaveGestureLibraryY;Trace;0;1000;1.0
RESNET;UWaveGestureLibraryY;Trace;37;1000;0.98
ENCODER;UWaveGestureLibraryY;Trace;0;1000;0.98
ENCODER;UWaveGestureLibraryY;Trace;22;1000;0.95
INCEPTION;UWaveGestureLibraryY;Trace;0;1000;1.0
INCEPTION;UWaveGestureLibraryY;Trace;63;1000;1.0
CNN;ItalyPowerDemand;TwoLeadECG;0;100;0.7594381035996488
CNN;ItalyPowerDemand;TwoLeadECG;11;100;0.7638279192273925
RESNET;ItalyPowerDemand;TwoLeadECG;0;100;0.9973661106233538
RESNET;ItalyPowerDemand;TwoLeadECG;37;100;0.7208077260755048
ENCODER;ItalyPowerDemand;TwoLeadECG;0;100;0.9789288849868305
ENCODER;ItalyPowerDemand;TwoLeadECG;22;100;0.8410886742756805
INCEPTION;ItalyPowerDemand;TwoLeadECG;0;100;0.6338893766461808
INCEPTION;ItalyPowerDemand;TwoLeadECG;63;100;0.7699736611062336
CNN;ItalyPowerDemand;TwoLeadECG;0;1000;0.9991220368744512
CNN;ItalyPowerDemand;TwoLeadECG;11;1000;0.845478489903424
RESNET;ItalyPowerDemand;TwoLeadECG;0;1000;1.0
RESNET;ItalyPowerDemand;TwoLeadECG;37;1000;0.8463564530289728
ENCODER;ItalyPowerDemand;TwoLeadECG;0;1000;0.9929762949956101
ENCODER;ItalyPowerDemand;TwoLeadECG;22;1000;0.9025460930640913
INCEPTION;ItalyPowerDemand;TwoLeadECG;0;1000;0.9956101843722563
INCEPTION;ItalyPowerDemand;TwoLeadECG;63;1000;0.9078138718173837
CNN;SonyAIBORobotSurface2;TwoPatterns;0;100;0.868
CNN;SonyAIBORobotSurface2;TwoPatterns;11;100;0.63
RESNET;SonyAIBORobotSurface2;TwoPatterns;0;100;1.0
RESNET;SonyAIBORobotSurface2;TwoPatterns;37;100;0.83025
ENCODER;SonyAIBORobotSurface2;TwoPatterns;0;100;0.9995
ENCODER;SonyAIBORobotSurface2;TwoPatterns;22;100;0.89525
INCEPTION;SonyAIBORobotSurface2;TwoPatterns;0;100;1.0
INCEPTION;SonyAIBORobotSurface2;TwoPatterns;63;100;0.741
CNN;SonyAIBORobotSurface2;TwoPatterns;0;1000;0.8745
CNN;SonyAIBORobotSurface2;TwoPatterns;11;1000;0.81475
RESNET;SonyAIBORobotSurface2;TwoPatterns;0;1000;1.0
RESNET;SonyAIBORobotSurface2;TwoPatterns;37;1000;0.87275
ENCODER;SonyAIBORobotSurface2;TwoPatterns;0;1000;1.0
ENCODER;SonyAIBORobotSurface2;TwoPatterns;22;1000;0.93175
INCEPTION;SonyAIBORobotSurface2;TwoPatterns;0;1000;1.0
INCEPTION;SonyAIBORobotSurface2;TwoPatterns;63;1000;0.97875
CNN;Worms;UWaveGestureLibraryAll;0;100;0.5603015075376885
CNN;Worms;UWaveGestureLibraryAll;11;100;0.5150753768844221
RESNET;Worms;UWaveGestureLibraryAll;0;100;0.8626465661641541
RESNET;Worms;UWaveGestureLibraryAll;37;100;0.5681183696259073
ENCODER;Worms;UWaveGestureLibraryAll;0;100;0.9595198213288666
ENCODER;Worms;UWaveGestureLibraryAll;22;100;0.894751535455053
